ativo_principal;ticker_call;ticker_put;strike;expiracao
A1MD9;A1MDA91;A1MDM91;91,00;14/01/2027
A1MD9;A1MDE91;A1MDQ91;91,00;14/05/2026
A1MD9;A1MDH910;A1MDT910;91,00;14/08/2025
A1MD9;A1MDA910;A1MDM910;91,00;15/01/2026
A1MD9;A1MDJ91;A1MDV91;91,00;15/10/2026
A1MD9;A1MDD910;A1MDP910;91,00;16/04/2026
A1MD9;A1MDG91;A1MDS91;91,00;16/07/2026
A1MD9;A1MDJ910;A1MDV910;91,00;16/10/2025
A1MD9;A1MDG910;A1MDS910;91,00;17/07/2025
A1MD9;A1MDI91;A1MDU91;91,00;17/09/2026
A1MD9;A1MDL91;A1MDX91;91,00;17/12/2026
A1MD9;A1MDB909;A1MDN909;91,00;18/02/2027
A1MD9;A1MDF91;A1MDR91;91,00;18/06/2026
A1MD9;A1MDI910;A1MDU910;91,00;18/09/2025
A1MD9;A1MDK91;A1MDW91;91,00;18/11/2026
A1MD9;A1MDL910;A1MDX910;91,00;18/12/2025
A1MD9;A1MDB91;A1MDN91;91,00;19/02/2026
A1MD9;A1MDC91;A1MDO91;91,00;19/03/2026
A1MD9;A1MDH91;A1MDT91;91,00;20/08/2026
A1MD9;A1MDK910;A1MDW910;91,00;20/11/2025
AAPL9;AAPLA66;AAPLM66;65,95;14/01/2027
AAPL9;AAPLE66;AAPLQ66;65,90;14/05/2026
AAPL9;AAPLH660;AAPLT660;65,90;14/08/2025
AAPL9;AAPLA660;AAPLM660;65,90;15/01/2026
AAPL9;AAPLJ66;AAPLV66;65,90;15/10/2026
AAPL9;AAPLD660;AAPLP660;65,90;16/04/2026
AAPL9;AAPLG66;AAPLS66;65,90;16/07/2026
AAPL9;AAPLJ660;AAPLV660;65,90;16/10/2025
AAPL9;AAPLI66;AAPLU66;65,90;17/09/2026
AAPL9;AAPLL66;AAPLX66;65,95;17/12/2026
AAPL9;AAPLB659;AAPLN659;65,95;18/02/2027
AAPL9;AAPLF66;AAPLR66;65,90;18/06/2026
AAPL9;AAPLI660;AAPLU660;65,90;18/09/2025
AAPL9;AAPLK66;AAPLW66;65,95;18/11/2026
AAPL9;AAPLL660;AAPLX660;65,90;18/12/2025
AAPL9;AAPLB66;AAPLN66;65,90;19/02/2026
AAPL9;AAPLC66;AAPLO66;65,90;19/03/2026
AAPL9;AAPLH66;AAPLT66;65,90;20/08/2026
AAPL9;AAPLK660;AAPLW660;65,90;20/11/2025
ABCB4;ABCBA20;ABCBM20;20,00;14/01/2027
ABCB4;ABCBE200;ABCBQ200;20,00;14/05/2026
ABCB4;ABCBH200;ABCBT200;20,00;14/08/2025
ABCB4;ABCBA200;ABCBM200;20,00;15/01/2026
ABCB4;ABCBJ200;ABCBV200;20,00;15/10/2026
ABCB4;ABCBD200;ABCBP200;20,00;16/04/2026
ABCB4;ABCBG20;ABCBS20;20,00;16/07/2026
ABCB4;ABCBJ250;ABCBV250;22,80;16/10/2025
ABCB4;ABCBG200;ABCBS200;20,00;17/07/2025
ABCB4;ABCBI20;ABCBU20;20,00;17/09/2026
ABCB4;ABCBL200;ABCBX200;20,00;17/12/2026
ABCB4;ABCBB199;ABCBN199;20,00;18/02/2027
ABCB4;ABCBF200;ABCBR200;20,00;18/06/2026
ABCB4;ABCBI200;ABCBU200;20,00;18/09/2025
ABCB4;ABCBK20;ABCBW20;20,00;18/11/2026
ABCB4;ABCBB20;ABCBN20;20,00;19/02/2026
ABCB4;ABCBC20;ABCBO20;20,00;19/03/2026
ABCB4;ABCBH20;ABCBT20;20,00;20/08/2026
ABCB4;ABCBK200;ABCBW200;20,00;20/11/2025
ABEV3;ABEVA11;ABEVM11;10,74;14/01/2027
ABEV3;ABEVH121;ABEVT121;11,24;14/08/2025
ABEV3;ABEVH123;ABEVT123;11,49;14/08/2025
ABEV3;ABEVH12;ABEVT12;11,74;14/08/2025
