Asset;Ticker;Tipo_Operacao;Data_Abertura;Data_Fechamento;Quantidade_Abertura;Preco_Abertura;Quantidade_Fechamento;Preco_Fechamento;Tipo_Fechamento;PL_Realizado;Valor_Abertura;Valor_Fechamento;Dias_Posicao;Retorno_Percent
PETRS312;PETRS312;ABERTURA_LONG;06/06/2025;;500;0,91;0;;;0,00;455,82;;;
PETRS312;PETRS312;ABERTURA_LONG;06/06/2025;;2500;0,91;0;;;0,00;2279,12;;;
PETRS312;PETRS312;ABERTURA_LONG;06/06/2025;;3000;0,91;0;;;0,00;2734,94;;;
PETRS312;PETRS312;ABERTURA_LONG;06/06/2025;;3000;0,91;0;;;0,00;2734,94;;;
PETRS312;PETRS312;ABERTURA_LONG;06/06/2025;;3000;0,91;0;;;0,00;2734,94;;;
PETRS312;PETRS312;ABERTURA_LONG;10/06/2025;;1200;0,69;0;;;0,00;829,50;;;
PETRS312;PETRS312;ABERTURA_LONG;10/06/2025;;1700;0,69;0;;;0,00;1175,13;;;
PETRS312;PETRS312;ABERTURA_LONG;10/06/2025;;900;0,69;0;;;0,00;622,13;;;
PETRS312;PETRS312;ABERTURA_LONG;10/06/2025;;3000;0,69;0;;;0,00;2073,75;;;
PETRS312;PETRS312;ABERTURA_LONG;10/06/2025;;100;0,69;0;;;0,00;69,13;;;
PETRS312;PETRS312;ABERTURA_LONG;10/06/2025;;3000;0,69;0;;;0,00;2073,75;;;
PETRS312;PETRS312;ABERTURA_LONG;10/06/2025;;2900;0,69;0;;;0,00;2004,63;;;
PETRS312;PETRS312;ABERTURA_LONG;10/06/2025;;2000;0,69;0;;;0,00;1382,50;;;
PETRS312;PETRS312;ABERTURA_LONG;10/06/2025;;2900;0,70;0;;;0,00;2033,68;;;
PETRS312;PETRS312;ABERTURA_LONG;10/06/2025;;2900;0,69;0;;;0,00;2004,63;;;
PETRS312;PETRS312;FECHAMENTO_LONG;06/06/2025;17/06/2025;500;0,91;100;0,16;PARCIAL;-75,19;455,82;15,97;11;-82,48%
PETRS312;PETRS312;FECHAMENTO_LONG;06/06/2025;17/06/2025;400;0,91;400;0,16;TOTAL;-300,76;364,66;63,89;11;-82,48%
PETRS312;PETRS312;FECHAMENTO_LONG;06/06/2025;17/06/2025;2500;0,91;1100;0,16;PARCIAL;-827,11;2279,12;175,71;11;-82,48%
PETRS312;PETRS312;FECHAMENTO_LONG;06/06/2025;17/06/2025;1400;0,91;600;0,16;PARCIAL;-451,15;1276,31;95,84;11;-82,48%
PETRS312;PETRS312;FECHAMENTO_LONG;06/06/2025;17/06/2025;800;0,91;800;0,16;TOTAL;-601,53;729,32;127,79;11;-82,48%
PETRS312;PETRS312;FECHAMENTO_LONG;06/06/2025;17/06/2025;3000;0,91;700;0,16;PARCIAL;-526,34;2734,94;111,81;11;-82,48%
PETRS312;PETRS312;FECHAMENTO_LONG;06/06/2025;17/06/2025;2300;0,91;900;0,16;PARCIAL;-676,72;2096,79;143,76;11;-82,48%
PETRS312;PETRS312;FECHAMENTO_LONG;06/06/2025;17/06/2025;1400;0,91;1400;0,16;TOTAL;-1052,68;1276,31;223,63;11;-82,48%
PETRS312;PETRS312;FECHAMENTO_LONG;06/06/2025;17/06/2025;3000;0,91;100;0,16;PARCIAL;-75,19;2734,94;15,97;11;-82,48%
PETRS312;PETRS312;FECHAMENTO_LONG;06/06/2025;17/06/2025;2900;0,91;1500;0,16;PARCIAL;-1127,87;2643,78;239,60;11;-82,48%
PETRS312;PETRS312;FECHAMENTO_LONG;06/06/2025;17/06/2025;1400;0,91;1100;0,16;PARCIAL;-827,10;1276,31;175,71;11;-82,48%
PETRS312;PETRS312;FECHAMENTO_LONG;06/06/2025;17/06/2025;300;0,91;300;0,16;TOTAL;-225,57;273,49;47,92;11;-82,48%
PETRS312;PETRS312;FECHAMENTO_LONG;06/06/2025;17/06/2025;3000;0,91;1200;0,16;PARCIAL;-902,30;2734,94;191,68;11;-82,48%
PETRS312;PETRS312;FECHAMENTO_LONG;06/06/2025;17/06/2025;1800;0,91;400;0,16;PARCIAL;-300,77;1640,96;63,89;11;-82,48%
PETRS312;PETRS312;FECHAMENTO_LONG;06/06/2025;17/06/2025;1400;0,91;1400;0,16;TOTAL;-1052,68;1276,31;223,63;11;-82,48%
PETRS312;PETRS312;FECHAMENTO_LONG;10/06/2025;17/06/2025;1200;0,69;100;0,16;PARCIAL;-53,15;829,50;15,97;7;-76,89%
PETRS312;PETRS312;FECHAMENTO_LONG;10/06/2025;17/06/2025;1100;0,69;1100;0,16;TOTAL;-584,67;760,38;175,71;7;-76,89%
PETRS312;PETRS312;FECHAMENTO_LONG;10/06/2025;17/06/2025;1700;0,69;1700;0,16;TOTAL;-903,58;1175,13;271,55;7;-76,89%
PETRS312;PETRS312;FECHAMENTO_LONG;10/06/2025;17/06/2025;900;0,69;900;0,16;TOTAL;-478,37;622,13;143,76;7;-76,89%
PETRS312;PETRS312;FECHAMENTO_LONG;10/06/2025;17/06/2025;3000;0,69;3000;0,16;TOTAL;-1594,55;2073,75;479,20;7;-76,89%
PETRS312;PETRS312;FECHAMENTO_LONG;10/06/2025;17/06/2025;100;0,69;100;0,16;TOTAL;-53,16;69,13;15,97;7;-76,89%
PETRS312;PETRS312;FECHAMENTO_LONG;10/06/2025;17/06/2025;3000;0,69;3000;0,16;TOTAL;-1594,55;2073,75;479,20;7;-76,89%
PETRS312;PETRS312;FECHAMENTO_LONG;10/06/2025;17/06/2025;2900;0,69;2900;0,16;TOTAL;-1541,40;2004,63;463,23;7;-76,89%
PETRS312;PETRS312;FECHAMENTO_LONG;10/06/2025;17/06/2025;2000;0,69;2000;0,16;TOTAL;-1063,03;1382,50;319,47;7;-76,89%
PETRS312;PETRS312;FECHAMENTO_LONG;10/06/2025;17/06/2025;2900;0,70;2900;0,16;TOTAL;-1570,45;2033,68;463,23;7;-77,22%
PETRS312;PETRS312;FECHAMENTO_LONG;10/06/2025;17/06/2025;2900;0,69;2900;0,16;TOTAL;-1541,40;2004,63;463,23;7;-76,89%
PETRG312;PETRG312;ABERTURA_SHORT;06/06/2025;;300;1,24;0;;;0,00;371,33;;;
PETRG312;PETRG312;ABERTURA_SHORT;06/06/2025;;300;1,24;0;;;0,00;371,33;;;
PETRG312;PETRG312;ABERTURA_SHORT;06/06/2025;;1400;1,24;0;;;0,00;1732,86;;;
PETRG312;PETRG312;ABERTURA_SHORT;06/06/2025;;2000;1,24;0;;;0,00;2475,51;;;
PETRG312;PETRG312;ABERTURA_SHORT;06/06/2025;;2000;1,24;0;;;0,00;2475,51;;;
PETRG312;PETRG312;ABERTURA_SHORT;06/06/2025;;2000;1,21;0;;;0,00;2415,62;;;
PETRG312;PETRG312;ABERTURA_SHORT;10/06/2025;;2000;1,42;0;;;0,00;2834,85;;;
PETRG312;PETRG312;ABERTURA_SHORT;10/06/2025;;2000;1,44;0;;;0,00;2874,78;;;
PETRG312;PETRG312;ABERTURA_SHORT;10/06/2025;;2000;1,44;0;;;0,00;2874,78;;;
PETRG312;PETRG312;ABERTURA_SHORT;10/06/2025;;2000;1,44;0;;;0,00;2874,78;;;
PETRG312;PETRG312;ABERTURA_SHORT;10/06/2025;;2000;1,44;0;;;0,00;2874,78;;;
PETRG312;PETRG312;ABERTURA_SHORT;10/06/2025;;2000;1,45;0;;;0,00;2894,74;;;
PETRG312;PETRG312;ABERTURA_SHORT;10/06/2025;;2000;1,45;0;;;0,00;2894,74;;;
PETRG312;PETRG312;FECHAMENTO_SHORT;06/06/2025;17/06/2025;300;1,24;300;3,76;TOTAL;-755,54;371,33;1126,87;11;-203,47%
PETRG312;PETRG312;FECHAMENTO_SHORT;06/06/2025;17/06/2025;300;1,24;300;3,76;TOTAL;-755,54;371,33;1126,87;11;-203,47%
PETRG312;PETRG312;FECHAMENTO_SHORT;06/06/2025;17/06/2025;1400;1,24;400;3,76;PARCIAL;-1007,39;1732,86;1502,49;11;-203,47%
PETRG312;PETRG312;FECHAMENTO_SHORT;06/06/2025;17/06/2025;1000;1,24;1000;3,76;TOTAL;-2518,46;1237,76;3756,22;11;-203,47%
PETRG312;PETRG312;FECHAMENTO_SHORT;06/06/2025;17/06/2025;2000;1,24;1000;3,76;PARCIAL;-2518,47;2475,51;3756,22;11;-203,47%
PETRG312;PETRG312;FECHAMENTO_SHORT;06/06/2025;17/06/2025;1000;1,24;1000;3,76;TOTAL;-2518,47;1237,76;3756,22;11;-203,47%
PETRG312;PETRG312;FECHAMENTO_SHORT;06/06/2025;17/06/2025;2000;1,24;1000;3,76;PARCIAL;-2518,47;2475,51;3756,22;11;-203,47%
PETRG312;PETRG312;FECHAMENTO_SHORT;06/06/2025;17/06/2025;1000;1,24;1000;3,80;TOTAL;-2558,53;1237,76;3796,29;11;-206,71%
PETRG312;PETRG312;FECHAMENTO_SHORT;06/06/2025;17/06/2025;2000;1,21;2000;3,80;TOTAL;-5176,95;2415,62;7592,57;11;-214,31%
PETRG312;PETRG312;FECHAMENTO_SHORT;10/06/2025;17/06/2025;2000;1,42;2000;3,80;TOTAL;-4757,72;2834,85;7592,57;7;-167,83%
PETRG312;PETRG312;FECHAMENTO_SHORT;10/06/2025;17/06/2025;2000;1,44;2000;3,80;TOTAL;-4717,79;2874,78;7592,57;7;-164,11%
