Asset;Ticker;Tipo_Operacao;Data_Abertura;Data_Fechamento;Quantidade_Abertura;Preco_Abertura;Quantidade_Fechamento;Preco_Fechamento;Tipo_Fechamento;PL_Realizado;Valor_Abertura;Valor_Fechamento;Dias_Posicao;Retorno_Percent
PETRF359;PETRF359;ABERTURA_SHORT;12/05/2025;;1300;1,05;0;;;0,00;1362,08;;;
PETRF359;PETRF359;FECHAMENTO_SHORT;12/05/2025;02/06/2025;1300;1,05;1300;0,20;TOTAL;1101,48;1362,08;260,60;21;80,87%
PETRR361;PETRR361;ABERTURA_LONG;12/05/2025;;1000;1,33;0;;;0,00;1332,85;;;
PETRR361;PETRR361;ABERTURA_LONG;13/05/2025;;300;1,34;0;;;0,00;400,59;;;
PETRR361;PETRR361;FECHAMENTO_LONG;12/05/2025;02/06/2025;1000;1,33;500;1,48;PARCIAL;71,86;1332,85;738,28;21;10,78%
PETRR361;PETRR361;FECHAMENTO_LONG;12/05/2025;02/06/2025;500;1,33;500;1,48;TOTAL;71,86;666,42;738,28;21;10,78%
PETRR361;PETRR361;FECHAMENTO_LONG;13/05/2025;02/06/2025;300;1,34;300;1,48;TOTAL;42,38;400,59;442,97;20;10,58%
PETROBRAS ON;PETROBRAS ON N2;ABERTURA_LONG;12/05/2025;;1300;34,36;0;;;0,00;44669,47;;;
PETROBRAS ON;PETROBRAS ON N2;FECHAMENTO_LONG;12/05/2025;02/06/2025;1300;34,36;100;33,14;PARCIAL;-122,30;44669,47;3313,81;21;-3,56%
PETROBRAS ON;PETROBRAS ON N2;FECHAMENTO_LONG;12/05/2025;02/06/2025;1200;34,36;800;33,14;PARCIAL;-978,43;41233,36;26510,47;21;-3,56%
PETROBRAS ON;PETROBRAS ON N2;FECHAMENTO_LONG;12/05/2025;02/06/2025;400;34,36;100;33,14;PARCIAL;-122,30;13744,45;3313,81;21;-3,56%
PETROBRAS ON;PETROBRAS ON N2;FECHAMENTO_LONG;12/05/2025;02/06/2025;300;34,36;300;33,14;TOTAL;-366,91;10308,34;9941,43;21;-3,56%
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;100;0,82;0;;;0,00;82,21;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;600;0,82;0;;;0,00;493,27;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;1500;0,82;0;;;0,00;1233,19;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;1500;0,73;0;;;0,00;1097,84;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;1500;0,82;0;;;0,00;1233,19;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;1600;0,82;0;;;0,00;1315,40;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;900;0,82;0;;;0,00;739,91;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;100;0,78;0;;;0,00;78,20;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;1500;0,82;0;;;0,00;1233,19;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;900;0,82;0;;;0,00;739,91;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;1500;0,73;0;;;0,00;1097,84;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;200;0,82;0;;;0,00;164,42;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;300;0,78;0;;;0,00;234,61;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;300;0,78;0;;;0,00;234,61;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;100;0,81;0;;;0,00;81,21;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;600;0,82;0;;;0,00;493,27;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;1500;0,82;0;;;0,00;1233,19;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;100;0,82;0;;;0,00;82,21;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;400;0,82;0;;;0,00;328,85;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;600;0,82;0;;;0,00;493,27;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;600;0,82;0;;;0,00;493,27;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;1600;0,83;0;;;0,00;1331,44;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;1100;0,84;0;;;0,00;926,39;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;100;0,82;0;;;0,00;82,21;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;1500;0,82;0;;;0,00;1233,19;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;200;0,82;0;;;0,00;164,42;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;1500;0,83;0;;;0,00;1248,22;;;
PETRS312;PETRS312;ABERTURA_LONG;03/06/2025;;400;0,84;0;;;0,00;336,87;;;
PETRS312;PETRS312;ABERTURA_LONG;06/06/2025;;1700;0,89;0;;;0,00;1517,28;;;
PETRS312;PETRS312;ABERTURA_LONG;06/06/2025;;200;0,90;0;;;0,00;180,51;;;
PETRS312;PETRS312;ABERTURA_LONG;06/06/2025;;1500;0,90;0;;;0,00;1353,82;;;
PETRS312;PETRS312;ABERTURA_LONG;06/06/2025;;200;0,90;0;;;0,00;180,51;;;
PETRS312;PETRS312;ABERTURA_LONG;06/06/2025;;1000;0,91;0;;;0,00;912,58;;;
PETRS312;PETRS312;ABERTURA_LONG;06/06/2025;;300;0,92;0;;;0,00;276,78;;;
PETRS312;PETRS312;ABERTURA_LONG;09/06/2025;;3100;0,97;0;;;0,00;3012,39;;;
PETRS312;PETRS312;ABERTURA_LONG;09/06/2025;;3100;0,97;0;;;0,00;3012,39;;;
PETRS312;PETRS312;ABERTURA_LONG;09/06/2025;;3000;0,97;0;;;0,00;2915,22;;;
PETRS312;PETRS312;ABERTURA_LONG;09/06/2025;;3000;0,97;0;;;0,00;2915,22;;;
PETRS312;PETRS312;ABERTURA_LONG;09/06/2025;;3100;0,97;0;;;0,00;3012,39;;;
PETRS312;PETRS312;ABERTURA_LONG;09/06/2025;;1800;0,97;0;;;0,00;1749,13;;;
PETRS312;PETRS312;ABERTURA_LONG;09/06/2025;;1300;0,97;0;;;0,00;1263,26;;;
PETRS312;PETRS312;ABERTURA_LONG;09/06/2025;;3100;0,97;0;;;0,00;3012,39;;;
PETRS312;PETRS312;ABERTURA_LONG;09/06/2025;;1500;0,97;0;;;0,00;1457,61;;;
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;100;0,82;100;0,17;TOTAL;-65,23;82,21;16,98;14;-79,35%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;600;0,82;600;0,17;TOTAL;-391,41;493,27;101,86;14;-79,35%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;1500;0,82;1500;0,17;TOTAL;-978,54;1233,19;254,65;14;-79,35%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;1500;0,73;1500;0,17;TOTAL;-843,19;1097,84;254,65;14;-76,80%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;1500;0,82;1500;0,17;TOTAL;-978,54;1233,19;254,65;14;-79,35%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;1600;0,82;1600;0,17;TOTAL;-1043,78;1315,40;271,62;14;-79,35%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;900;0,82;900;0,17;TOTAL;-587,12;739,91;152,79;14;-79,35%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;100;0,78;100;0,17;TOTAL;-61,22;78,20;16,98;14;-78,29%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;1500;0,82;1500;0,17;TOTAL;-978,54;1233,19;254,65;14;-79,35%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;900;0,82;900;0,17;TOTAL;-587,12;739,91;152,79;14;-79,35%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;1500;0,73;1500;0,17;TOTAL;-843,19;1097,84;254,65;14;-76,80%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;200;0,82;200;0,17;TOTAL;-130,47;164,42;33,95;14;-79,35%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;300;0,78;300;0,17;TOTAL;-183,68;234,61;50,93;14;-78,29%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;300;0,78;300;0,17;TOTAL;-183,68;234,61;50,93;14;-78,29%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;100;0,81;100;0,17;TOTAL;-64,23;81,21;16,98;14;-79,10%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;600;0,82;600;0,17;TOTAL;-391,41;493,27;101,86;14;-79,35%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;1500;0,82;1500;0,17;TOTAL;-978,54;1233,19;254,65;14;-79,35%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;100;0,82;100;0,17;TOTAL;-65,23;82,21;16,98;14;-79,35%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;400;0,82;400;0,17;TOTAL;-260,94;328,85;67,91;14;-79,35%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;600;0,82;600;0,17;TOTAL;-391,41;493,27;101,86;14;-79,35%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;600;0,82;600;0,17;TOTAL;-391,41;493,27;101,86;14;-79,35%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;1600;0,83;1600;0,17;TOTAL;-1059,82;1331,44;271,62;14;-79,60%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;1100;0,84;1100;0,17;TOTAL;-739,65;926,39;186,74;14;-79,84%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;100;0,82;100;0,17;TOTAL;-65,23;82,21;16,98;14;-79,35%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;1500;0,82;1500;0,17;TOTAL;-978,54;1233,19;254,65;14;-79,35%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;200;0,82;100;0,17;PARCIAL;-65,23;164,42;16,98;14;-79,35%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;100;0,82;100;0,17;TOTAL;-65,23;82,21;16,98;14;-79,35%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;1500;0,83;1500;0,17;TOTAL;-993,57;1248,22;254,65;14;-79,60%
PETRS312;PETRS312;FECHAMENTO_LONG;03/06/2025;17/06/2025;400;0,84;400;0,17;TOTAL;-268,96;336,87;67,91;14;-79,84%
PETRS312;PETRS312;FECHAMENTO_LONG;06/06/2025;17/06/2025;1700;0,89;1700;0,17;TOTAL;-1228,68;1517,28;288,60;11;-80,98%
PETRS312;PETRS312;FECHAMENTO_LONG;06/06/2025;17/06/2025;200;0,90;200;0,17;TOTAL;-146,56;180,51;33,95;11;-81,19%
PETRS312;PETRS312;FECHAMENTO_LONG;06/06/2025;17/06/2025;1500;0,90;1500;0,17;TOTAL;-1099,17;1353,82;254,65;11;-81,19%
PETRS312;PETRS312;FECHAMENTO_LONG;06/06/2025;17/06/2025;200;0,90;200;0,17;TOTAL;-146,56;180,51;33,95;11;-81,19%
PETRS312;PETRS312;FECHAMENTO_LONG;06/06/2025;17/06/2025;1000;0,91;1000;0,17;TOTAL;-742,82;912,58;169,76;11;-81,40%
PETRS312;PETRS312;FECHAMENTO_LONG;06/06/2025;17/06/2025;300;0,92;300;0,17;TOTAL;-225,85;276,78;50,93;11;-81,60%
PETRS312;PETRS312;FECHAMENTO_LONG;09/06/2025;17/06/2025;3100;0,97;3100;0,17;TOTAL;-2486,12;3012,39;526,27;8;-82,53%
PETRS312;PETRS312;FECHAMENTO_LONG;09/06/2025;17/06/2025;3100;0,97;3100;0,17;TOTAL;-2486,12;3012,39;526,27;8;-82,53%
PETRS312;PETRS312;FECHAMENTO_LONG;09/06/2025;17/06/2025;3000;0,97;3000;0,17;TOTAL;-2405,93;2915,22;509,29;8;-82,53%
PETRS312;PETRS312;FECHAMENTO_LONG;09/06/2025;17/06/2025;3000;0,97;3000;0,17;TOTAL;-2405,93;2915,22;509,29;8;-82,53%
PETRS312;PETRS312;FECHAMENTO_LONG;09/06/2025;17/06/2025;3100;0,97;2800;0,17;PARCIAL;-2245,53;3012,39;475,34;8;-82,53%
PETRS312;PETRS312;FECHAMENTO_LONG;09/06/2025;17/06/2025;300;0,97;300;0,17;TOTAL;-240,59;291,52;50,93;8;-82,53%
PETRS312;PETRS312;FECHAMENTO_LONG;09/06/2025;17/06/2025;1800;0,97;1800;0,17;TOTAL;-1443,55;1749,13;305,58;8;-82,53%
PETRS312;PETRS312;FECHAMENTO_LONG;09/06/2025;17/06/2025;1300;0,97;1300;0,17;TOTAL;-1042,57;1263,26;220,69;8;-82,53%
PETRS312;PETRS312;FECHAMENTO_LONG;09/06/2025;17/06/2025;3100;0,97;3100;0,17;TOTAL;-2486,12;3012,39;526,27;8;-82,53%
PETRS312;PETRS312;FECHAMENTO_LONG;09/06/2025;17/06/2025;1500;0,97;1400;0,17;PARCIAL;-1122,77;1457,61;237,67;8;-82,53%
PETRS312;PETRS312;FECHAMENTO_LONG;09/06/2025;17/06/2025;100;0,97;100;0,17;TOTAL;-80,19;97,17;16,98;8;-82,53%
PETRG312;PETRG312;ABERTURA_SHORT;03/06/2025;;600;1,47;0;;;0,00;879,72;;;
PETRG312;PETRG312;ABERTURA_SHORT;03/06/2025;;700;1,44;0;;;0,00;1005,39;;;
PETRG312;PETRG312;ABERTURA_SHORT;03/06/2025;;300;1,44;0;;;0,00;430,88;;;
PETRG312;PETRG312;ABERTURA_SHORT;03/06/2025;;500;1,46;0;;;0,00;728,11;;;
PETRG312;PETRG312;ABERTURA_SHORT;03/06/2025;;1000;1,47;0;;;0,00;1466,19;;;
